ID,Frame Name,Cycle Time [ms],Launch Type,Launch Parameter,Signal Byte No.,Signal Bit No.,Signal Name,Signal Function,Signal Length [Bit],Signal Default, Signal Not Available,Byteorder,is signed,FC,C,Name / Phys. Range,Function / Increment Unit,Value,frame.,signal.
17Eh,GW_17E,10,Cyclic,,2,4,EPS_ADS_Abortfeedback,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Adas Speed Invalid, 2: Adas Signal Invalid , 3: State Mismatch, 4: APA Interrupt, 5: BUS Off, 6: Both Channels CAN down, 7: Adas Chassis CAN Down , 8: ADAS Internal Error, 9: Speed out of range, 10: AgAmpErr, 11: AgGrdtFlt, 12: Driver Interrupt, 13: ADAS Req Mode Invld",,
17Eh,GW_17E,10,Cyclic,,6,7,EPS_MeasuredTorsionBarTorqValid,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,1,0, ,m,u,r,,0..1,,"0: ¿ÉÓÃ, 1: ²»¿ÉÓÃ",,
17Eh,GW_17E,10,Cyclic,,6,7,EPS_MeasuredTorsionBarTorqValid,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,1,0, ,m,u,r,,0..1,,"0: ¿ÉÓÃ, 1: ²»¿ÉÓÃ",,
17Eh,GW_17E,10,Cyclic,,7,1,EPS_LatCtrlActive,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,1,0, ,m,u,r,,0..1,,"0: Not Actived, 1: Actived",,
17Eh,GW_17E,10,Cyclic,,7,1,EPS_LatCtrlActive,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,1,0, ,m,u,r,,0..1,,"0: Not Actived, 1: Actived",,
17Eh,GW_17E,10,Cyclic,,7,2,EPS_LatCtrlAvailabilityStatus,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,2,0, ,m,u,r,,0..3,,"0: not Availability , 1: Availability, 2: failure, 3: reserved",,
17Eh,GW_17E,10,Cyclic,,7,2,EPS_LatCtrlAvailabilityStatus,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,2,0, ,m,u,r,,0..3,,"0: not Availability , 1: Availability, 2: failure, 3: reserved",,
17Eh,GW_17E,10,Cyclic,,7,2,EPS_LatCtrlAvailabilityStatus,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,2,0, ,m,u,r,,0..3,,"0: not Availability , 1: Availability, 2: failure, 3: reserved",,
17Eh,GW_17E,10,Cyclic,,7,2,EPS_LatCtrlAvailabilityStatus,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,2,0, ,m,u,r,,0..3,,"0: not Availability , 1: Availability, 2: failure, 3: reserved",,
17Eh,GW_17E,10,Cyclic,,7,4,EPS_RollingCounter_17E,"1.rolling counter
2.Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ",4,0, ,m,u,r,,0..15,,,,
17Eh,GW_17E,10,Cyclic,,8,0,EPS_CRCCheck_17E,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,8,0, ,m,u,r,,0..255,,,,
180h,GW_180,10,Cyclic,,1,0,SAS_SteeringAngle,,16,0.0, ,m,s,r,,-780..780,0.1  degree,,,
180h,GW_180,10,Cyclic,,3,0,SAS_SteeringAngleSpeed,,8,0, ,m,u,r,,0..1016,4  deg/s,,,
180h,GW_180,10,Cyclic,,4,0,SAS_SteeringAngleValid,,1,0, ,m,u,r,,0..1,,"0: Valid , 1: Invalid",,
180h,GW_180,10,Cyclic,,4,0,SAS_SteeringAngleValid,,1,0, ,m,u,r,,0..1,,"0: Valid , 1: Invalid",,
180h,GW_180,10,Cyclic,,4,1,SAS_SASFailure,,1,0, ,m,u,r,,0..1,,"0: No Failure, 1: Failure",,
180h,GW_180,10,Cyclic,,4,1,SAS_SASFailure,,1,0, ,m,u,r,,0..1,,"0: No Failure, 1: Failure",,
180h,GW_180,10,Cyclic,,4,2,SAS_Calibrated,,1,0, ,m,u,r,,0..1,,"0: Calibrated, 1:  Not Calibrated",,
180h,GW_180,10,Cyclic,,4,2,SAS_Calibrated,,1,0, ,m,u,r,,0..1,,"0: Calibrated, 1:  Not Calibrated",,
180h,GW_180,10,Cyclic,,7,4,SAS_RollingCounter,,4,0, ,m,u,r,,0..15,,,,
180h,GW_180,10,Cyclic,,8,0,SAS_CRCCheck,,8,0, ,m,u,r,,0..255,,,,
187h,GW_187,10,Cyclic,,1,0,ESP_ABSActiveStatus,,1,0, ,m,u,r,,0..1,,"0: NotActive, 1: Active",,
187h,GW_187,10,Cyclic,,1,0,ESP_ABSActiveStatus,,1,0, ,m,u,r,,0..1,,"0: NotActive, 1: Active",,
187h,GW_187,10,Cyclic,,1,3,ESP_TCSFailStatus,,1,0, ,m,u,r,,0..1,,"0: Noerror, 1: Error",,
187h,GW_187,10,Cyclic,,1,3,ESP_TCSFailStatus,,1,0, ,m,u,r,,0..1,,"0: Noerror, 1: Error",,
187h,GW_187,10,Cyclic,,1,4,ESP_ABSFailStatus,,1,0, ,m,u,r,,0..1,,"0: Noerror, 1: Error",,
187h,GW_187,10,Cyclic,,1,4,ESP_ABSFailStatus,,1,0, ,m,u,r,,0..1,,"0: Noerror, 1: Error",,
187h,GW_187,10,Cyclic,,1,6,ESP_ESPFunctionStatus,,1,1, ,m,u,r,,0..1,,"0: OFF, 1: ON",,
187h,GW_187,10,Cyclic,,1,6,ESP_ESPFunctionStatus,,1,1, ,m,u,r,,0..1,,"0: OFF, 1: ON",,
187h,GW_187,10,Cyclic,,1,7,ESP_ESPActiveStatus,TCU½ÓÊÕÎªDCT×¨ÓÃ ,1,0, ,m,u,r,,0..1,,"0: NotActive, 1: Active",,
187h,GW_187,10,Cyclic,,1,7,ESP_ESPActiveStatus,TCU½ÓÊÕÎªDCT×¨ÓÃ ,1,0, ,m,u,r,,0..1,,"0: NotActive, 1: Active",,
187h,GW_187,10,Cyclic,,4,0,ESP_EngTorqInc,È¼ÉÕÅ¤¾Ø ,8,0.000, ,m,u,r,,0..99.568,0.392  %,,,
187h,GW_187,10,Cyclic,,5,0,ESP_EngTorqDecActive,,1,0, ,m,u,r,,0..1,,"0: NotActive, 1: Active",,
187h,GW_187,10,Cyclic,,5,0,ESP_EngTorqDecActive,,1,0, ,m,u,r,,0..1,,"0: NotActive, 1: Active",,
187h,GW_187,10,Cyclic,,5,1,ESP_EngTorqIncActive,,1,0, ,m,u,r,,0..1,,"0: NotActive, 1: Active",,
187h,GW_187,10,Cyclic,,5,1,ESP_EngTorqIncActive,,1,0, ,m,u,r,,0..1,,"0: NotActive, 1: Active",,
187h,GW_187,10,Cyclic,,5,2,ESP_VehicleSpeedValid,"TCU½ÓÊÕÎªDCT×¨ÓÃ
ACM½ÓÊÕÎªAT/DCT×¨ÓÃ ",1,0, ,m,u,r,,0..1,,"0: Valid, 1: NotValid",,
187h,GW_187,10,Cyclic,,5,2,ESP_VehicleSpeedValid,"TCU½ÓÊÕÎªDCT×¨ÓÃ
ACM½ÓÊÕÎªAT/DCT×¨ÓÃ ",1,0, ,m,u,r,,0..1,,"0: Valid, 1: NotValid",,
187h,GW_187,10,Cyclic,,5,3,ESP_VehicleSpeed,"TCU½ÓÊÕÎªDCT×¨ÓÃ
ACM½ÓÊÕÎªAT/DCT×¨ÓÃ ",13,0.00000, ,m,u,r,,0..360,0.05625  km/h,,,
187h,GW_187,10,Cyclic,,7,4,ESP_RollingCounter_187,"AT/DCT
ACM½ÓÊÕÎªAT/DCT×¨ÓÃ ",4,0, ,m,u,r,,0..15,,,,
187h,GW_187,10,Cyclic,,8,0,ESP_CRCCheck_187,AT/DCT ,8,0, ,m,u,r,,0..255,,,,
188h,GW_188,10,Cyclic,,1,2,TCU_ShiftinProgress,AT/DCT ,1,0, ,m,u,r,,0..1,,"0: Noshift, 1: Shift",,
188h,GW_188,10,Cyclic,,1,2,TCU_ShiftinProgress,AT/DCT ,1,0, ,m,u,r,,0..1,,"0: Noshift, 1: Shift",,
188h,GW_188,10,Cyclic,,1,3,TCU_ShiftinProgressValid,AT/DCT ,1,0, ,m,u,r,,0..1,,"0: Valid, 1: Invalid",,
188h,GW_188,10,Cyclic,,1,3,TCU_ShiftinProgressValid,AT/DCT ,1,0, ,m,u,r,,0..1,,"0: Valid, 1: Invalid",,
188h,GW_188,10,Cyclic,,7,4,TCU_RollingCounter_188,"AT/DCT
rollingcounter ",4,0, ,m,u,r,,0..15,,,,
188h,GW_188,10,Cyclic,,8,0,TCU_CRCCheck_188, ,8,0, ,m,u,r,,0..255,,,,
18Eh,GW_18E,10,Cyclic,,1,0,EMS_IndicatedDriverReqTorq,TCU½ÓÊÕÎªAT/DCT×¨ÓÃ ,16,0.000000, ,m,u,r,,0..99.9988,0.001526  %,,,
18Eh,GW_18E,10,Cyclic,,14,0,EMS_AccPedal,ACM½ÓÊÕÎªAT×¨ÓÃ ,8,0.000, ,m,u,r,,0..99.568,0.392  %,,,
18Eh,GW_18E,10,Cyclic,,15,0,EMS_BrakePedalStatus,"±íÊ¾¼ÝÊ»Ô±²ÈÏÂÖÆ¶¯Ì¤°åµÄÕæÊµ×´Ì¬
ACM½ÓÊÕÎªAT×¨ÓÃ ",2,0, ,m,u,r,,0..3,,"0: NotPressed, 1: Pressed, 2: Reserved, 3: Error",,
18Eh,GW_18E,10,Cyclic,,15,0,EMS_BrakePedalStatus,"±íÊ¾¼ÝÊ»Ô±²ÈÏÂÖÆ¶¯Ì¤°åµÄÕæÊµ×´Ì¬
ACM½ÓÊÕÎªAT×¨ÓÃ ",2,0, ,m,u,r,,0..3,,"0: NotPressed, 1: Pressed, 2: Reserved, 3: Error",,
